,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Jamestown,US,42.1,-79.24,1.87,91,1,8.05
1,Mirny,RU,62.54,113.96,12.2,92,75,6.71
2,Busselton,AU,-33.65,115.33,77.47,35,0,21.3
3,Saint-Philippe,RE,-21.36,55.77,76.95,78,100,6.93
4,Vaini,TO,-21.2,-175.2,78.8,78,20,9.17
5,Dikson,RU,73.51,80.55,10.65,93,95,18.25
6,Beringovskiy,RU,63.05,179.32,2.07,81,100,20.0
7,Longyearbyen,SJ,78.22,15.64,6.8,71,75,11.41
8,Kaitangata,NZ,-46.28,169.85,59.0,93,100,5.01
9,Souillac,MU,-20.52,57.52,84.18,70,75,16.11
10,Mataura,NZ,-46.19,168.86,60.01,87,100,4.0
11,Sobolevo,RU,54.43,31.9,32.79,89,15,2.42
12,Taoudenni,ML,22.68,-3.98,76.1,17,100,15.28
13,Avallon,FR,47.48,3.9,44.1,81,63,4.21
14,Kapaa,US,22.08,-159.32,73.27,83,40,4.7
15,Mokshan,RU,53.44,44.61,35.01,56,100,7.72
16,Fairbanks,US,64.84,-147.72,-27.26,75,1,8.05
17,Port-Gentil,GA,-0.72,8.78,86.0,84,20,5.28
18,Avarua,CK,-21.21,-159.78,78.8,88,83,10.29
19,Tuktoyaktuk,CA,69.45,-133.04,-32.75,98,0,1.95
20,Ushuaia,AR,-54.8,-68.3,48.2,76,75,6.93
21,Isabela,PH,6.71,121.97,87.8,66,20,4.7
22,Portland,US,45.52,-122.68,41.63,87,90,4.7
23,Knysna,ZA,-34.04,23.05,69.8,88,75,4.7
24,Rome,US,43.21,-75.46,-3.87,69,1,5.48
25,Hong Kong,HK,22.29,114.16,71.38,83,40,13.87
26,Castro,BR,-24.79,-50.01,59.61,99,73,3.47
27,Rikitea,PF,-23.12,-134.97,79.3,77,0,14.43
28,Alofi,NU,-19.06,-169.92,77.0,83,100,11.41
29,Mahon,ES,39.89,4.27,57.2,87,75,5.82
30,Tabou,CI,4.42,-7.35,82.81,76,29,3.53
31,Punta Arenas,CL,-53.15,-70.92,48.09,87,90,13.87
32,Hermanus,ZA,-34.42,19.23,80.24,69,0,5.99
33,Uruguaiana,BR,-29.75,-57.09,73.4,94,90,4.7
